City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Vanimo,PG,76.95,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
2,Harper,LR,79.95,scattered clouds,4.375,-7.7169,Screensaver
6,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
7,Rikitea,PF,77.68,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Busselton,AU,83.05,broken clouds,-33.65,115.3333,Observatory Guest House
14,Hobart,AU,75.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
21,Kudahuvadhoo,MV,82.09,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
29,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
30,Sabang,ID,80.24,overcast clouds,5.8933,95.3214,Hotel Citra
33,Tamandare,BR,78.37,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
36,Tabou,CI,79.97,scattered clouds,4.423,-7.3528,hotêl doufoulougou
38,Sao Filipe,CV,74.44,clear sky,14.8961,-24.4956,Hotel Xaguate
44,Atuona,PF,78.87,scattered clouds,-9.8,-139.0333,Villa Enata
47,New Norfolk,AU,74.66,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
50,Ambulu,ID,84.7,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
67,Guarapari,BR,78.69,moderate rain,-20.6667,-40.4975,Hotel Porto do Sol
70,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
71,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Prestea,GH,73.22,overcast clouds,5.4327,-2.1428,Garden Hill Hotel
77,Tulum,MX,73.92,clear sky,20.2167,-87.4667,Kin Ha Tulum
85,Mitsamiouli,KM,81.0,scattered clouds,-11.3847,43.2844,Foyer ADM
92,Sur,OM,71.85,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
93,Inhambane,MZ,74.5,overcast clouds,-23.865,35.3833,Oceano
96,Ayame,CI,74.88,scattered clouds,5.6083,-3.1563,Hotel Bossan
98,Saint-Leu,RE,76.06,overcast clouds,-21.15,55.2833,La Caz Oceane
99,Arraial Do Cabo,BR,74.91,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
104,Matata,NZ,83.34,overcast clouds,-37.8833,176.75,Matata B&B
105,Bengkulu,ID,78.46,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
107,Vaini,TO,87.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
117,Butaritari,KI,81.14,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
119,Kavieng,PG,84.29,light rain,-2.5744,150.7967,Nusa Island Retreat
120,Pemangkat,ID,82.38,few clouds,1.1667,108.9667,Ramah Kost KITA
121,General Pico,AR,72.19,clear sky,-35.6566,-63.7568,Euskadi Hotel
124,Obando,PH,85.19,overcast clouds,14.7167,120.9333,Sitio Rosal Resort and Pavilion
125,Kendari,ID,86.11,moderate rain,-3.945,122.4989,Hotel Wixel
132,Ocos,GT,80.31,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
138,Acopiara,BR,79.83,overcast clouds,-6.0953,-39.4525,Cantinho do Ceu Hotel
142,Santiago Del Estero,AR,72.81,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
146,Japura,ID,78.42,moderate rain,-0.3167,102.35,Rumah mbah Jamah
147,Faanui,PF,82.09,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
155,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
158,Mercedes,AR,77.18,scattered clouds,-34.6515,-59.4307,Posada del Inti Centro
159,Iquitos,PE,77.04,heavy intensity rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
164,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
166,Male,MV,82.35,haze,4.1748,73.5089,Hotel Octave Maldives
168,Hithadhoo,MV,81.12,broken clouds,-0.6,73.0833,Scoop Guest House
170,Buchanan,LR,78.19,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
175,Cabo Rojo,PR,77.22,broken clouds,18.0866,-67.1457,Hotel Perichi's
179,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
181,Esperance,AU,76.84,scattered clouds,-33.8667,121.9,Hospitality Esperance
185,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
186,Meulaboh,ID,80.71,overcast clouds,4.1363,96.1285,Kost Pria
190,Cabo San Lucas,MX,73.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
192,Mocuba,MZ,72.93,overcast clouds,-16.8392,36.9856,Phama Lodge
196,Hilo,US,72.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
200,Benguela,AO,72.97,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
207,Djenne,ML,71.6,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
220,Pilar,BR,78.73,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
228,San-Pedro,CI,77.94,few clouds,4.7485,-6.6363,Hotel Maria
233,Maragogi,BR,78.04,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
234,Waingapu,ID,88.88,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
244,Soyo,AO,78.17,overcast clouds,-6.1349,12.3689,Hotel Mpampa
247,Poum,NC,81.03,clear sky,-20.2333,164.0167,Gîte kajeon
249,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
250,Fougamou,GA,74.39,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
251,Byron Bay,AU,86.11,light rain,-28.65,153.6167,Backpackers Inn
253,Banda Aceh,ID,80.26,overcast clouds,5.5577,95.3222,Sulthan Hotel International
254,Grand Gaube,MU,78.39,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
258,Lahaina,US,74.44,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
259,Yulara,AU,84.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
260,Basco,PH,77.61,broken clouds,20.4487,121.9702,Nathaniel's Lodge
263,Almenara,BR,71.01,overcast clouds,-16.1836,-40.6944,Pousada Estância
268,Kalmunai,LK,77.45,overcast clouds,7.4167,81.8167,VS Villa
271,Road Town,VG,78.84,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
273,Jandaia Do Sul,BR,81.25,scattered clouds,-23.6031,-51.6433,Hotel Jandaia do Sul
277,Salta,AR,70.09,overcast clouds,-24.7859,-65.4117,Hotel Alejandro I
279,Alta Floresta,BR,71.73,moderate rain,-9.8756,-56.0861,Floresta Amazonica Hotel
280,Muncar,ID,86.16,overcast clouds,-8.4333,114.3333,Zaky Homestay
281,Natal,BR,80.82,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
282,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
284,Labuhan,ID,86.02,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
287,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
288,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
291,Lazaro Cardenas,MX,76.05,clear sky,17.9583,-102.2,quinta antigua
294,Acarau,BR,79.99,broken clouds,-2.8856,-40.12,castelo pizzaria
298,Cockburn Town,TC,79.07,few clouds,21.4612,-71.1419,Osprey Beach Hotel
302,Pergamino,AR,74.25,few clouds,-33.89,-60.5736,Hotel Fachinat
310,Sao Felix Do Xingu,BR,73.17,light rain,-6.6447,-51.995,Rio Xingu Camping
312,Antalaha,MG,77.34,broken clouds,-14.9003,50.2788,Hotel Vitasoa
